stu_id,category,year_of_study,ai_hours,ai_use,prompt_skill,tool_diversity,dependence
100001,Humanities,Senior,23.31,Copywriting/Drafting,Beginner,1,5
100002,Medical,Junior,1.12,Ideation,Advanced,5,3
100003,Business,Freshman,21.26,Summarizing_Reading,Beginner,2,5
100004,Business,Senior,1.82,Copywriting/Drafting,Intermediate,4,2
100005,STEM,Sophomore,9.29,Debugging/Troubleshooting,Advanced,4,4
100006,STEM,Junior,6.5,Debugging/Troubleshooting,Beginner,1,4
100007,STEM,Freshman,31.41,Summarizing_Reading,Advanced,5,8
100008,Arts,Junior,5.33,Copywriting/Drafting,Intermediate,3,2
100009,Business,Sophomore,2,Debugging/Troubleshooting,Beginner,2,1
100010,Business,Sophomore,19.99,Debugging/Troubleshooting,Intermediate,2,3
100011,STEM,Graduate,5.16,Summarizing_Reading,Advanced,3,5
100012,Medical,Junior,3.62,Direct_Answer_Generation,Intermediate,3,3
100013,Arts,Senior,2.86,Copywriting/Drafting,Beginner,2,2
100014,STEM,Junior,8.95,Direct_Answer_Generation,Beginner,1,2
100015,STEM,Freshman,1.22,Copywriting/Drafting,Beginner,1,2
100016,STEM,Senior,14.74,Debugging/Troubleshooting,Beginner,1,4
100017,Humanities,Sophomore,2.08,Direct_Answer_Generation,Advanced,3,5
100018,Business,Senior,8.03,Direct_Answer_Generation,Advanced,4,4
100019,Humanities,Junior,0.51,Summarizing_Reading,Beginner,1,1
100020,STEM,Sophomore,0.2,Debugging/Troubleshooting,Intermediate,4,1
100021,Business,Sophomore,1.63,Copywriting/Drafting,Intermediate,4,4
100022,STEM,Senior,4.91,Debugging/Troubleshooting,Beginner,1,2
100023,STEM,Junior,10.48,Copywriting/Drafting,Intermediate,2,2
100024,Humanities,Senior,0.45,Ideation,Beginner,1,1
100025,Humanities,Freshman,28.72,Copywriting/Drafting,Beginner,1,8
100026,Arts,Senior,2.38,Ideation,Advanced,4,2
100027,STEM,Sophomore,18.62,Debugging/Troubleshooting,Advanced,5,6
100028,Business,Junior,23.96,Ideation,Intermediate,2,5
100029,Business,Freshman,0.68,Ideation,Beginner,1,1
100030,STEM,Sophomore,12.83,Debugging/Troubleshooting,Advanced,4,5
100031,Business,Senior,1.26,Direct_Answer_Generation,Intermediate,4,2
100032,STEM,Sophomore,0.72,Debugging/Troubleshooting,Intermediate,2,5
100033,STEM,Graduate,1.27,Direct_Answer_Generation,Advanced,3,3
100034,Medical,Senior,5.56,Summarizing_Reading,Intermediate,5,2
100035,Medical,Graduate,19.92,Summarizing_Reading,Beginner,2,7
100036,Arts,Sophomore,1.17,Direct_Answer_Generation,Intermediate,4,2
100037,Humanities,Freshman,0.29,Copywriting/Drafting,Advanced,3,1
100038,STEM,Junior,16.77,Debugging/Troubleshooting,Intermediate,3,5
100039,Business,Sophomore,1.58,Ideation,Intermediate,4,1
100040,Humanities,Junior,4.19,Debugging/Troubleshooting,Intermediate,3,2
100041,STEM,Senior,7.17,Debugging/Troubleshooting,Advanced,3,5
100042,Humanities,Senior,0.41,Summarizing_Reading,Beginner,3,1
100043,STEM,Freshman,8.06,Debugging/Troubleshooting,Beginner,3,3
100044,Medical,Senior,4.67,Summarizing_Reading,Beginner,3,4
100045,STEM,Junior,14.47,Debugging/Troubleshooting,Intermediate,3,4
100046,Business,Junior,6.34,Ideation,Intermediate,2,2
100047,Humanities,Sophomore,6.26,Copywriting/Drafting,Intermediate,1,4
100048,Business,Junior,8.04,Direct_Answer_Generation,Beginner,2,2
100049,Business,Senior,8.78,Ideation,Intermediate,3,1
100050,STEM,Senior,13.39,Summarizing_Reading,Intermediate,2,5
100051,Medical,Sophomore,11.13,Summarizing_Reading,Advanced,4,3
100052,Arts,Senior,11.16,Debugging/Troubleshooting,Beginner,2,6
100053,Medical,Sophomore,11.36,Summarizing_Reading,Intermediate,3,5
100054,Medical,Senior,0.88,Ideation,Intermediate,4,4
100055,Business,Junior,0.16,Summarizing_Reading,Beginner,1,2
100056,Medical,Senior,20.48,Direct_Answer_Generation,Beginner,2,6
100057,STEM,Junior,2.23,Ideation,Advanced,4,4
100058,STEM,Sophomore,9.77,Ideation,Advanced,3,4
100059,STEM,Junior,2.7,Debugging/Troubleshooting,Beginner,2,3
100060,Humanities,Sophomore,14.92,Summarizing_Reading,Beginner,2,2
100061,Humanities,Sophomore,6.6,Ideation,Advanced,3,4
100062,STEM,Freshman,2.47,Debugging/Troubleshooting,Intermediate,3,1
100063,Arts,Senior,17.37,Copywriting/Drafting,Beginner,1,6
100064,Humanities,Freshman,7.02,Copywriting/Drafting,Intermediate,4,2
100065,STEM,Graduate,8.2,Ideation,Intermediate,1,2
100066,Business,Freshman,0.65,Ideation,Intermediate,3,3
100067,STEM,Graduate,6.73,Debugging/Troubleshooting,Intermediate,4,3
100068,Arts,Graduate,1.1,Ideation,Beginner,2,2
100069,STEM,Sophomore,16.74,Direct_Answer_Generation,Advanced,3,4
100070,Medical,Graduate,9.62,Copywriting/Drafting,Beginner,1,5
100071,Arts,Graduate,18.86,Direct_Answer_Generation,Beginner,1,6
100072,STEM,Freshman,13.89,Copywriting/Drafting,Beginner,2,8
100073,STEM,Graduate,9.97,Debugging/Troubleshooting,Advanced,3,3
100074,Arts,Freshman,8.72,Ideation,Advanced,3,4
100075,Business,Freshman,2.08,Direct_Answer_Generation,Beginner,1,5
100076,Business,Junior,5.4,Copywriting/Drafting,Beginner,2,2
100077,Arts,Freshman,7.29,Copywriting/Drafting,Beginner,3,1
100078,STEM,Freshman,0.9,Debugging/Troubleshooting,Advanced,4,1
100079,Humanities,Graduate,8.84,Copywriting/Drafting,Intermediate,2,1
100080,STEM,Graduate,5.01,Summarizing_Reading,Beginner,3,2
100081,Arts,Senior,2.79,Copywriting/Drafting,Beginner,2,2
100082,Business,Junior,8.53,Direct_Answer_Generation,Beginner,2,4
100083,Humanities,Graduate,13.97,Summarizing_Reading,Beginner,1,4
100084,STEM,Freshman,3.7,Debugging/Troubleshooting,Intermediate,4,2
100085,Humanities,Graduate,8.18,Direct_Answer_Generation,Advanced,4,4
100086,Humanities,Sophomore,8.23,Debugging/Troubleshooting,Intermediate,3,3
100087,Business,Graduate,9.65,Ideation,Intermediate,5,2
100088,Business,Senior,13.19,Ideation,Beginner,2,6
100089,Medical,Graduate,6.51,Summarizing_Reading,Beginner,3,1
100090,Humanities,Graduate,34,Debugging/Troubleshooting,Beginner,2,6
100091,STEM,Graduate,7.91,Debugging/Troubleshooting,Intermediate,5,3
100092,Business,Junior,5.87,Copywriting/Drafting,Intermediate,5,3
100093,Arts,Senior,0.16,Debugging/Troubleshooting,Intermediate,5,3
100094,Business,Senior,12.92,Direct_Answer_Generation,Intermediate,2,7
100095,Arts,Freshman,21.32,Summarizing_Reading,Beginner,2,3
100096,Humanities,Senior,5.21,Copywriting/Drafting,Beginner,1,1
100097,Business,Freshman,3.32,Direct_Answer_Generation,Intermediate,2,2
100098,Humanities,Graduate,3.02,Copywriting/Drafting,Beginner,2,2
100099,STEM,Freshman,28.71,Debugging/Troubleshooting,Advanced,5,6
100100,STEM,Graduate,11.3,Direct_Answer_Generation,Advanced,3,6
100101,STEM,Sophomore,25.83,Debugging/Troubleshooting,Intermediate,3,7
100102,Business,Freshman,8.9,Debugging/Troubleshooting,Intermediate,3,6
100103,Humanities,Graduate,3.32,Copywriting/Drafting,Beginner,2,5
100104,Business,Freshman,4.77,Debugging/Troubleshooting,Intermediate,2,2
100105,Medical,Junior,5.72,Copywriting/Drafting,Intermediate,2,2
100106,STEM,Senior,9.6,Debugging/Troubleshooting,Intermediate,3,3
100107,Humanities,Sophomore,6.37,Copywriting/Drafting,Advanced,3,2
100108,Arts,Junior,4.33,Direct_Answer_Generation,Beginner,1,2
100109,STEM,Senior,0.43,Copywriting/Drafting,Intermediate,4,3
100110,STEM,Graduate,10.28,Ideation,Advanced,4,4
100111,STEM,Freshman,7.54,Debugging/Troubleshooting,Beginner,1,2
100112,STEM,Freshman,12.06,Ideation,Beginner,3,6
100113,Medical,Junior,9.86,Ideation,Intermediate,2,5
100114,Arts,Sophomore,2.86,Copywriting/Drafting,Beginner,1,4
100115,Business,Sophomore,2.61,Ideation,Advanced,5,1
100116,Medical,Sophomore,1.25,Ideation,Beginner,3,2
100117,Arts,Junior,5.45,Summarizing_Reading,Advanced,3,3
100118,STEM,Graduate,0.73,Debugging/Troubleshooting,Intermediate,2,1
100119,Medical,Freshman,27.9,Summarizing_Reading,Beginner,2,7
100120,Business,Freshman,0.9,Ideation,Advanced,5,1
100121,Arts,Senior,3.58,Ideation,Intermediate,4,3
100122,Medical,Freshman,0.51,Direct_Answer_Generation,Beginner,2,4
100123,Humanities,Senior,18.48,Copywriting/Drafting,Beginner,1,4
100124,STEM,Sophomore,3.16,Ideation,Advanced,3,5
100125,STEM,Sophomore,40,Summarizing_Reading,Intermediate,4,10
100126,Humanities,Sophomore,18.06,Debugging/Troubleshooting,Beginner,2,7
100127,Arts,Sophomore,5.4,Direct_Answer_Generation,Intermediate,2,4
100128,Arts,Senior,23.63,Ideation,Beginner,2,7
100129,STEM,Graduate,3.94,Debugging/Troubleshooting,Intermediate,4,3
100130,Business,Junior,8.18,Ideation,Intermediate,2,2
100131,Humanities,Junior,1.62,Copywriting/Drafting,Beginner,2,1
100132,STEM,Freshman,20.76,Ideation,Advanced,3,5
100133,STEM,Senior,9.69,Debugging/Troubleshooting,Beginner,3,5
100134,Humanities,Junior,16.77,Direct_Answer_Generation,Advanced,3,6
100135,Medical,Freshman,6.97,Summarizing_Reading,Beginner,2,3
100136,Humanities,Freshman,6.39,Debugging/Troubleshooting,Beginner,1,3
100137,Business,Freshman,11.13,Debugging/Troubleshooting,Beginner,3,8
100138,Business,Freshman,0.44,Ideation,Advanced,4,4
100139,Humanities,Senior,4.18,Direct_Answer_Generation,Intermediate,1,1
100140,Medical,Graduate,1.9,Ideation,Beginner,2,3
100141,Medical,Senior,20.69,Ideation,Beginner,2,4
100142,STEM,Junior,25.2,Debugging/Troubleshooting,Advanced,4,4
100143,Humanities,Sophomore,10.37,Copywriting/Drafting,Advanced,4,4
100144,Humanities,Sophomore,16.61,Summarizing_Reading,Beginner,3,5
100145,STEM,Junior,22.04,Summarizing_Reading,Intermediate,1,6
100146,STEM,Sophomore,9.16,Ideation,Advanced,3,5
100147,Business,Sophomore,25.66,Ideation,Intermediate,1,5
100148,Business,Junior,6.05,Ideation,Beginner,2,1
100149,STEM,Sophomore,40,Debugging/Troubleshooting,Beginner,3,6
100150,STEM,Freshman,35.18,Debugging/Troubleshooting,Advanced,4,8
100151,Medical,Freshman,20.4,Copywriting/Drafting,Beginner,1,6
100152,STEM,Sophomore,4.43,Copywriting/Drafting,Intermediate,5,4
100153,STEM,Junior,4.13,Summarizing_Reading,Advanced,4,1
100154,Humanities,Sophomore,4.01,Ideation,Intermediate,3,1
100155,Medical,Freshman,1.52,Summarizing_Reading,Intermediate,3,3
100156,STEM,Sophomore,1.35,Copywriting/Drafting,Advanced,3,3
100157,Business,Freshman,9.72,Summarizing_Reading,Beginner,3,6
100158,Arts,Graduate,3.86,Copywriting/Drafting,Beginner,3,5
100159,STEM,Sophomore,10.2,Direct_Answer_Generation,Beginner,2,4
100160,Business,Freshman,2.92,Ideation,Intermediate,3,4
100161,Humanities,Senior,2.76,Copywriting/Drafting,Beginner,3,1
100162,Business,Sophomore,9.49,Summarizing_Reading,Beginner,2,5
100163,Business,Junior,2.62,Debugging/Troubleshooting,Beginner,1,3
100164,Business,Freshman,1.41,Ideation,Intermediate,2,4
100165,STEM,Graduate,27.25,Debugging/Troubleshooting,Beginner,3,6
100166,Arts,Graduate,9.67,Ideation,Beginner,2,3
100167,Humanities,Senior,1.18,Summarizing_Reading,Beginner,1,1
100168,STEM,Senior,2.67,Debugging/Troubleshooting,Intermediate,1,3
100169,STEM,Junior,4.31,Debugging/Troubleshooting,Intermediate,2,2
100170,Business,Graduate,5.54,Summarizing_Reading,Intermediate,2,3
100171,Business,Junior,0.78,Ideation,Advanced,4,5
100172,STEM,Sophomore,2.54,Ideation,Intermediate,1,4
100173,Business,Freshman,0.11,Summarizing_Reading,Advanced,3,3
100174,STEM,Freshman,9.82,Copywriting/Drafting,Beginner,2,3
100175,Business,Junior,14.99,Direct_Answer_Generation,Intermediate,2,6
100176,STEM,Sophomore,2.13,Debugging/Troubleshooting,Beginner,2,5
100177,Business,Senior,18.12,Ideation,Advanced,4,6
100178,Humanities,Sophomore,3.46,Summarizing_Reading,Beginner,3,3
100179,Medical,Graduate,2.94,Copywriting/Drafting,Beginner,1,3
100180,STEM,Junior,2.7,Debugging/Troubleshooting,Advanced,5,2
100181,Humanities,Junior,26.24,Copywriting/Drafting,Advanced,5,7
100182,STEM,Junior,3.1,Debugging/Troubleshooting,Beginner,1,4
100183,Medical,Graduate,3.49,Ideation,Advanced,3,2
100184,Medical,Freshman,0.75,Summarizing_Reading,Beginner,2,1
100185,STEM,Freshman,37.66,Copywriting/Drafting,Intermediate,3,6
100186,Business,Senior,0.36,Debugging/Troubleshooting,Beginner,2,4
100187,Arts,Senior,3.33,Copywriting/Drafting,Intermediate,3,2
100188,Business,Junior,1.87,Copywriting/Drafting,Intermediate,3,2
100189,Business,Sophomore,3.23,Ideation,Beginner,2,1
100190,STEM,Sophomore,1.7,Copywriting/Drafting,Intermediate,4,3
100191,STEM,Sophomore,3.49,Summarizing_Reading,Intermediate,2,2
100192,Medical,Graduate,3.05,Summarizing_Reading,Intermediate,2,4
100193,Medical,Sophomore,2.41,Direct_Answer_Generation,Beginner,2,3
100194,Business,Senior,7.69,Copywriting/Drafting,Advanced,5,1
100195,Humanities,Senior,3.64,Ideation,Beginner,3,1
100196,Humanities,Freshman,2.11,Copywriting/Drafting,Intermediate,2,2
100197,Business,Freshman,6.34,Direct_Answer_Generation,Beginner,2,3
100198,Medical,Sophomore,2.64,Direct_Answer_Generation,Intermediate,1,1
100199,Medical,Senior,8.1,Summarizing_Reading,Beginner,3,4
100200,Arts,Sophomore,14.28,Direct_Answer_Generation,Advanced,3,6
100201,Business,Freshman,17.53,Copywriting/Drafting,Beginner,2,6
100202,STEM,Sophomore,1.76,Summarizing_Reading,Advanced,3,2
100203,STEM,Freshman,0.87,Debugging/Troubleshooting,Intermediate,5,4
100204,Medical,Freshman,10.51,Direct_Answer_Generation,Beginner,3,4
100205,Business,Sophomore,21.32,Debugging/Troubleshooting,Beginner,2,6
100206,STEM,Freshman,8.15,Debugging/Troubleshooting,Intermediate,3,4
100207,STEM,Senior,0.81,Debugging/Troubleshooting,Beginner,2,4
100208,Business,Sophomore,9.73,Ideation,Beginner,1,4
100209,STEM,Senior,1.59,Direct_Answer_Generation,Beginner,2,4
100210,STEM,Junior,6.03,Summarizing_Reading,Advanced,4,2
100211,Business,Graduate,9.61,Debugging/Troubleshooting,Advanced,3,4
100212,Business,Freshman,16.68,Summarizing_Reading,Advanced,4,5
100213,Business,Freshman,6.12,Ideation,Advanced,5,6
100214,STEM,Graduate,4.25,Direct_Answer_Generation,Beginner,2,4
100215,Business,Senior,5.75,Summarizing_Reading,Advanced,5,3
100216,STEM,Freshman,1.91,Debugging/Troubleshooting,Intermediate,2,4
100217,Humanities,Freshman,4.27,Copywriting/Drafting,Intermediate,3,5
100218,Business,Graduate,7.89,Ideation,Beginner,2,2
100219,Business,Freshman,2.69,Ideation,Beginner,1,2
100220,Arts,Graduate,3.85,Copywriting/Drafting,Intermediate,3,4
100221,Business,Graduate,23.56,Ideation,Advanced,3,7
100222,Business,Sophomore,0.18,Debugging/Troubleshooting,Beginner,3,1
100223,STEM,Senior,21.42,Summarizing_Reading,Advanced,4,3
100224,Humanities,Junior,11.81,Summarizing_Reading,Beginner,3,2
100225,STEM,Senior,4.6,Ideation,Beginner,3,3
100226,STEM,Sophomore,3.82,Copywriting/Drafting,Beginner,3,1
100227,Medical,Freshman,9.33,Summarizing_Reading,Advanced,4,2
100228,Humanities,Senior,15.05,Summarizing_Reading,Beginner,3,5
100229,Medical,Freshman,0.39,Summarizing_Reading,Beginner,3,1
100230,Business,Graduate,6.3,Ideation,Intermediate,1,1
100231,Arts,Sophomore,2.28,Ideation,Beginner,1,1
100232,Business,Freshman,1.27,Ideation,Intermediate,5,4
